id,uid,name,description,website,business_type,created_at,updated_at,log_data
"324","csm_eJ3E3XvHZAoqXMV","XE",,"https://www.xe.com/","B2C","2021-11-11 12:49:56.486188","2021-11-11 12:50:43.704221","{""h"": [{""c"": {""id"": 324, ""uid"": ""csm_eJ3E3XvHZAoqXMV"", ""name"": ""XE"", ""website"": ""https://www.xe.com/"", ""created_at"": ""2021-11-11T12:49:56.486188"", ""updated_at"": ""2021-11-11T12:49:56.486188"", ""description"": null, ""business_type"": ""B2C""}, ""v"": 1, ""ts"": 1636634996486}, {""c"": {""updated_at"": ""2021-11-11 12:50:43.704221""}, ""v"": 2, ""ts"": 1636635043704}], ""v"": 2}"
"327","csm_520W4W3yn7COBXa","Slidebean",,"https://slidebean.com/hello","B2B","2021-11-11 12:49:58.297721","2021-11-11 12:50:43.888033","{""h"": [{""c"": {""id"": 327, ""uid"": ""csm_520W4W3yn7COBXa"", ""name"": ""Slidebean"", ""website"": ""https://slidebean.com/hello"", ""created_at"": ""2021-11-11T12:49:58.297721"", ""updated_at"": ""2021-11-11T12:49:58.297721"", ""description"": null, ""business_type"": ""B2B""}, ""v"": 1, ""ts"": 1636634998298}, {""c"": {""updated_at"": ""2021-11-11 12:50:43.888033""}, ""v"": 2, ""ts"": 1636635043888}], ""v"": 2}"
"100","csm_ndVx2DwwtnfkGow","CompeteIQ",,"https://www.competeiq.io/","B2B","2021-07-26 07:43:46.409186","2021-08-20 07:20:14.662568","{""h"": [{""c"": {""id"": 100, ""uid"": ""csm_ndVx2DwwtnfkGow"", ""name"": ""CompeteIQ"", ""website"": null, ""created_at"": ""2021-07-26T07:43:46.409186"", ""updated_at"": ""2021-07-26T07:43:46.409186"", ""description"": null, ""business_type"": ""B2B""}, ""v"": 1, ""ts"": 1627285426409}, {""c"": {""website"": ""https://www.competeiq.io/"", ""updated_at"": ""2021-08-20 07:20:05.24236""}, ""v"": 2, ""ts"": 1629444005242}, {""c"": {""updated_at"": ""2021-08-20 07:20:14.662568""}, ""v"": 3, ""ts"": 1629444014663}], ""v"": 3}"
"143","csm_1u69NqqGESOo8fN","CipherCloud",,"https://www.lookout.com/","B2B","2021-08-04 05:37:47.372093","2021-08-20 07:20:16.411517","{""h"": [{""c"": {""id"": 143, ""uid"": ""csm_1u69NqqGESOo8fN"", ""name"": ""CipherCloud"", ""website"": null, ""created_at"": ""2021-08-04T05:37:47.372093"", ""updated_at"": ""2021-08-04T05:37:47.372093"", ""description"": null, ""business_type"": ""B2B""}, ""v"": 1, ""ts"": 1628055467372}, {""c"": {""website"": ""https://www.lookout.com/"", ""updated_at"": ""2021-08-20 07:20:10.26696""}, ""v"": 2, ""ts"": 1629444010267}, {""c"": {""updated_at"": ""2021-08-20 07:20:16.411517""}, ""v"": 3, ""ts"": 1629444016412}], ""v"": 3}"
"193","csm_BOp5Oy8d0G9OF84","Intelligent Bee",,"https://intelligentbee.com/","B2B","2021-09-07 19:54:42.779735","2021-09-07 19:55:00.030417","{""h"": [{""c"": {""id"": 193, ""uid"": ""csm_BOp5Oy8d0G9OF84"", ""name"": ""Intelligent Bee"", ""website"": ""https://intelligentbee.com/"", ""created_at"": ""2021-09-07T19:54:42.779735"", ""updated_at"": ""2021-09-07T19:54:42.779735"", ""description"": null, ""business_type"": ""B2B""}, ""v"": 1, ""ts"": 1631044482780}, {""c"": {""updated_at"": ""2021-09-07 19:55:00.030417""}, ""v"": 2, ""ts"": 1631044500030}], ""v"": 2}"
"192","csm_bGRdUhc9NxAKRqY","Inbox Health ",,"https://www.inboxhealth.com/","B2B","2021-09-07 19:54:41.015433","2021-09-07 19:55:07.345771","{""h"": [{""c"": {""id"": 192, ""uid"": ""csm_bGRdUhc9NxAKRqY"", ""name"": ""Inbox Health "", ""website"": ""https://www.inboxhealth.com/"", ""created_at"": ""2021-09-07T19:54:41.015433"", ""updated_at"": ""2021-09-07T19:54:41.015433"", ""description"": null, ""business_type"": ""B2B""}, ""v"": 1, ""ts"": 1631044481015}, {""c"": {""updated_at"": ""2021-09-07 19:55:07.345771""}, ""v"": 2, ""ts"": 1631044507346}], ""v"": 2}"
"218","csm_yrjdX64JSKKlyk1","Wayflyer ",,"https://www.wayflyer.com/","B2B","2021-09-20 13:46:34.511938","2021-09-20 13:46:56.653957","{""h"": [{""c"": {""id"": 218, ""uid"": ""csm_yrjdX64JSKKlyk1"", ""name"": ""Wayflyer "", ""website"": ""https://www.wayflyer.com/"", ""created_at"": ""2021-09-20T13:46:34.511938"", ""updated_at"": ""2021-09-20T13:46:34.511938"", ""description"": null, ""business_type"": ""B2B""}, ""v"": 1, ""ts"": 1632145594512}, {""c"": {""updated_at"": ""2021-09-20 13:46:56.653957""}, ""v"": 2, ""ts"": 1632145616654}], ""v"": 2}"
"242","csm_pz8kGAIXKsJhSSY","eBay",,"https://www.ebay.com/","B2C","2021-10-14 06:55:28.027671","2021-10-14 06:55:56.360052","{""h"": [{""c"": {""id"": 242, ""uid"": ""csm_pz8kGAIXKsJhSSY"", ""name"": ""eBay"", ""website"": ""https://www.ebay.com/"", ""created_at"": ""2021-10-14T06:55:28.027671"", ""updated_at"": ""2021-10-14T06:55:28.027671"", ""description"": null, ""business_type"": ""B2C""}, ""v"": 1, ""ts"": 1634194528028}, {""c"": {""updated_at"": ""2021-10-14 06:55:56.360052""}, ""v"": 2, ""ts"": 1634194556360}], ""v"": 2}"
"356","csm_rb47Btra7cwFQNU","Tablelist",,"www.tablelist.com","B2B","2021-11-29 08:32:04.778056","2021-11-29 08:32:34.017766","{""h"": [{""c"": {""id"": 356, ""uid"": ""csm_rb47Btra7cwFQNU"", ""name"": ""Tablelist"", ""website"": ""www.tablelist.com"", ""created_at"": ""2021-11-29T08:32:04.778056"", ""updated_at"": ""2021-11-29T08:32:04.778056"", ""description"": null, ""business_type"": ""B2B""}, ""v"": 1, ""ts"": 1638174724778}, {""c"": {""updated_at"": ""2021-11-29 08:32:34.017766""}, ""v"": 2, ""ts"": 1638174754018}], ""v"": 2}"
"372","csm_s0ffEcMqHiXqnIN","t1markets",,"t1markets.com",,"2021-12-13 13:40:03.749848","2021-12-13 13:40:27.741435","{""h"": [{""c"": {""id"": 372, ""uid"": ""csm_s0ffEcMqHiXqnIN"", ""name"": ""t1markets"", ""website"": ""t1markets.com"", ""created_at"": ""2021-12-13T13:40:03.749848"", ""updated_at"": ""2021-12-13T13:40:03.749848"", ""description"": null, ""business_type"": null}, ""v"": 1, ""ts"": 1639402803750}, {""c"": {""updated_at"": ""2021-12-13 13:40:27.741435""}, ""v"": 2, ""ts"": 1639402827741}], ""v"": 2}"
