id,uid,article_id,industry_id,created_at,updated_at,log_data
"180","csi_hi0IB4JMdbw2H1E","77","40","2021-05-31 10:09:07.892727","2021-05-31 10:09:07.892727","{""h"": [{""c"": {""id"": 180, ""uid"": ""csi_hi0IB4JMdbw2H1E"", ""article_id"": 77, ""created_at"": ""2021-05-31T10:09:07.892727"", ""updated_at"": ""2021-05-31T10:09:07.892727"", ""industry_id"": 40}, ""v"": 1, ""ts"": 1622455747893}], ""v"": 1}"
"181","csi_ZbqYmXfWZ9Bk1vG","77","586","2021-05-31 10:14:26.008996","2021-05-31 10:14:26.008996","{""h"": [{""c"": {""id"": 181, ""uid"": ""csi_ZbqYmXfWZ9Bk1vG"", ""article_id"": 77, ""created_at"": ""2021-05-31T10:14:26.008996"", ""updated_at"": ""2021-05-31T10:14:26.008996"", ""industry_id"": 586}, ""v"": 1, ""ts"": 1622456066009}], ""v"": 1}"
"182","csi_LULIl9d1fiQXuHN","77","25","2021-05-31 10:14:26.022525","2021-05-31 10:14:26.022525","{""h"": [{""c"": {""id"": 182, ""uid"": ""csi_LULIl9d1fiQXuHN"", ""article_id"": 77, ""created_at"": ""2021-05-31T10:14:26.022525"", ""updated_at"": ""2021-05-31T10:14:26.022525"", ""industry_id"": 25}, ""v"": 1, ""ts"": 1622456066023}], ""v"": 1}"
"183","csi_OMttEcsIktZbsPz","77","40","2021-05-31 10:14:26.044272","2021-05-31 10:14:26.044272","{""h"": [{""c"": {""id"": 183, ""uid"": ""csi_OMttEcsIktZbsPz"", ""article_id"": 77, ""created_at"": ""2021-05-31T10:14:26.044272"", ""updated_at"": ""2021-05-31T10:14:26.044272"", ""industry_id"": 40}, ""v"": 1, ""ts"": 1622456066044}], ""v"": 1}"
"1140","csi_0TtgPAWL1UucAes","338","25","2022-01-26 15:18:04.152469","2022-01-26 15:18:04.152469","{""h"": [{""c"": {""id"": 1140, ""uid"": ""csi_0TtgPAWL1UucAes"", ""article_id"": 338, ""created_at"": ""2022-01-26T15:18:04.152469"", ""updated_at"": ""2022-01-26T15:18:04.152469"", ""industry_id"": 25}, ""v"": 1, ""ts"": 1643210284152}], ""v"": 1}"
"1141","csi_9hxHNIwKWYDbpS9","349","594","2022-01-26 15:18:04.475555","2022-01-26 15:18:04.475555","{""h"": [{""c"": {""id"": 1141, ""uid"": ""csi_9hxHNIwKWYDbpS9"", ""article_id"": 349, ""created_at"": ""2022-01-26T15:18:04.475555"", ""updated_at"": ""2022-01-26T15:18:04.475555"", ""industry_id"": 594}, ""v"": 1, ""ts"": 1643210284476}], ""v"": 1}"
"1144","csi_9WOkYQs5drEeRSx","339","1423","2022-01-26 15:18:07.67855","2022-01-26 15:18:07.67855","{""h"": [{""c"": {""id"": 1144, ""uid"": ""csi_9WOkYQs5drEeRSx"", ""article_id"": 339, ""created_at"": ""2022-01-26T15:18:07.67855"", ""updated_at"": ""2022-01-26T15:18:07.67855"", ""industry_id"": 1423}, ""v"": 1, ""ts"": 1643210287679}], ""v"": 1}"
"1146","csi_T1huc8B4sP8n0Vf","295","211","2022-01-26 15:18:10.083282","2022-01-26 15:18:10.083282","{""h"": [{""c"": {""id"": 1146, ""uid"": ""csi_T1huc8B4sP8n0Vf"", ""article_id"": 295, ""created_at"": ""2022-01-26T15:18:10.083282"", ""updated_at"": ""2022-01-26T15:18:10.083282"", ""industry_id"": 211}, ""v"": 1, ""ts"": 1643210290083}], ""v"": 1}"
"189","csi_oQpeGiR55vQvdGB","79","586","2021-07-26 07:40:57.241881","2021-07-26 07:40:57.241881","{""h"": [{""c"": {""id"": 189, ""uid"": ""csi_oQpeGiR55vQvdGB"", ""article_id"": 79, ""created_at"": ""2021-07-26T07:40:57.241881"", ""updated_at"": ""2021-07-26T07:40:57.241881"", ""industry_id"": 586}, ""v"": 1, ""ts"": 1627285257242}], ""v"": 1}"
"190","csi_HYfZOF6SqSX1MXi","79","639","2021-07-26 07:40:57.255215","2021-07-26 07:40:57.255215","{""h"": [{""c"": {""id"": 190, ""uid"": ""csi_HYfZOF6SqSX1MXi"", ""article_id"": 79, ""created_at"": ""2021-07-26T07:40:57.255215"", ""updated_at"": ""2021-07-26T07:40:57.255215"", ""industry_id"": 639}, ""v"": 1, ""ts"": 1627285257255}], ""v"": 1}"
"191","csi_vzvd2bAMwslypEX","80","586","2021-07-26 07:41:00.324501","2021-07-26 07:41:00.324501","{""h"": [{""c"": {""id"": 191, ""uid"": ""csi_vzvd2bAMwslypEX"", ""article_id"": 80, ""created_at"": ""2021-07-26T07:41:00.324501"", ""updated_at"": ""2021-07-26T07:41:00.324501"", ""industry_id"": 586}, ""v"": 1, ""ts"": 1627285260325}], ""v"": 1}"
"192","csi_jblPGgisG043d9N","80","240","2021-07-26 07:41:00.335906","2021-07-26 07:41:00.335906","{""h"": [{""c"": {""id"": 192, ""uid"": ""csi_jblPGgisG043d9N"", ""article_id"": 80, ""created_at"": ""2021-07-26T07:41:00.335906"", ""updated_at"": ""2021-07-26T07:41:00.335906"", ""industry_id"": 240}, ""v"": 1, ""ts"": 1627285260336}], ""v"": 1}"
"193","csi_RvVhxEg5UvCyPRC","80","176","2021-07-26 07:41:00.346303","2021-07-26 07:41:00.346303","{""h"": [{""c"": {""id"": 193, ""uid"": ""csi_RvVhxEg5UvCyPRC"", ""article_id"": 80, ""created_at"": ""2021-07-26T07:41:00.346303"", ""updated_at"": ""2021-07-26T07:41:00.346303"", ""industry_id"": 176}, ""v"": 1, ""ts"": 1627285260346}], ""v"": 1}"
"194","csi_fmbrlHwAXWarS03","81","586","2021-07-26 07:41:01.835464","2021-07-26 07:41:01.835464","{""h"": [{""c"": {""id"": 194, ""uid"": ""csi_fmbrlHwAXWarS03"", ""article_id"": 81, ""created_at"": ""2021-07-26T07:41:01.835464"", ""updated_at"": ""2021-07-26T07:41:01.835464"", ""industry_id"": 586}, ""v"": 1, ""ts"": 1627285261835}], ""v"": 1}"
"195","csi_NwzyzTGSdHDn8at","81","93","2021-07-26 07:41:01.848613","2021-07-26 07:41:01.848613","{""h"": [{""c"": {""id"": 195, ""uid"": ""csi_NwzyzTGSdHDn8at"", ""article_id"": 81, ""created_at"": ""2021-07-26T07:41:01.848613"", ""updated_at"": ""2021-07-26T07:41:01.848613"", ""industry_id"": 93}, ""v"": 1, ""ts"": 1627285261849}], ""v"": 1}"
"196","csi_cl9HjijAIFjWzKH","81","248","2021-07-26 07:41:01.86029","2021-07-26 07:41:01.86029","{""h"": [{""c"": {""id"": 196, ""uid"": ""csi_cl9HjijAIFjWzKH"", ""article_id"": 81, ""created_at"": ""2021-07-26T07:41:01.86029"", ""updated_at"": ""2021-07-26T07:41:01.86029"", ""industry_id"": 248}, ""v"": 1, ""ts"": 1627285261860}], ""v"": 1}"
"197","csi_YTSiA0cCJkRAh22","81","472","2021-07-26 07:41:01.871895","2021-07-26 07:41:01.871895","{""h"": [{""c"": {""id"": 197, ""uid"": ""csi_YTSiA0cCJkRAh22"", ""article_id"": 81, ""created_at"": ""2021-07-26T07:41:01.871895"", ""updated_at"": ""2021-07-26T07:41:01.871895"", ""industry_id"": 472}, ""v"": 1, ""ts"": 1627285261872}], ""v"": 1}"
"198","csi_w8eouLjh6ERMQyW","82","194","2021-07-26 07:41:04.326756","2021-07-26 07:41:04.326756","{""h"": [{""c"": {""id"": 198, ""uid"": ""csi_w8eouLjh6ERMQyW"", ""article_id"": 82, ""created_at"": ""2021-07-26T07:41:04.326756"", ""updated_at"": ""2021-07-26T07:41:04.326756"", ""industry_id"": 194}, ""v"": 1, ""ts"": 1627285264327}], ""v"": 1}"
"199","csi_JQVmmnqGwCH9Wac","82","240","2021-07-26 07:41:04.33776","2021-07-26 07:41:04.33776","{""h"": [{""c"": {""id"": 199, ""uid"": ""csi_JQVmmnqGwCH9Wac"", ""article_id"": 82, ""created_at"": ""2021-07-26T07:41:04.33776"", ""updated_at"": ""2021-07-26T07:41:04.33776"", ""industry_id"": 240}, ""v"": 1, ""ts"": 1627285264338}], ""v"": 1}"
