id,skill_id,skill_category_id,created_at,updated_at
"76","2","5","2021-10-12 06:35:54.408947","2021-10-12 06:35:54.408947"
"77","922","5","2021-10-12 06:35:54.41398","2021-10-12 06:35:54.41398"
"78","512","5","2021-10-12 06:35:54.418474","2021-10-12 06:35:54.418474"
"79","417","5","2021-10-12 06:35:54.423372","2021-10-12 06:35:54.423372"
"80","1026","5","2021-10-12 06:35:54.427937","2021-10-12 06:35:54.427937"
"81","919","5","2021-10-12 06:35:54.43251","2021-10-12 06:35:54.43251"
"82","640","5","2021-10-12 06:35:54.437134","2021-10-12 06:35:54.437134"
"83","300","5","2021-10-12 06:35:54.441914","2021-10-12 06:35:54.441914"
"85","316","5","2021-10-12 06:35:54.451849","2021-10-12 06:35:54.451849"
"86","816","5","2021-10-12 06:35:54.456256","2021-10-12 06:35:54.456256"
"87","185","5","2021-10-12 06:35:54.460671","2021-10-12 06:35:54.460671"
"88","344","5","2021-10-12 06:35:54.465478","2021-10-12 06:35:54.465478"
"89","762","5","2021-10-12 06:35:54.47","2021-10-12 06:35:54.47"
"90","5","5","2021-10-12 06:35:54.475729","2021-10-12 06:35:54.475729"
"93","358","5","2021-10-12 06:35:54.491906","2021-10-12 06:35:54.491906"
"94","268","5","2021-10-12 06:35:54.496783","2021-10-12 06:35:54.496783"
"95","956","5","2021-10-12 06:35:54.501648","2021-10-12 06:35:54.501648"
"96","75","5","2021-10-12 06:35:54.506843","2021-10-12 06:35:54.506843"
"97","332","5","2021-10-12 06:35:54.511806","2021-10-12 06:35:54.511806"
"98","549","5","2021-10-12 06:35:54.516998","2021-10-12 06:35:54.516998"
"99","306","5","2021-10-12 06:35:54.52189","2021-10-12 06:35:54.52189"
"100","51","5","2021-10-12 06:35:54.526806","2021-10-12 06:35:54.526806"
"101","885","5","2021-10-12 06:35:54.532087","2021-10-12 06:35:54.532087"
"102","654","5","2021-10-12 06:35:54.536762","2021-10-12 06:35:54.536762"
"103","244","5","2021-10-12 06:35:54.542154","2021-10-12 06:35:54.542154"
"104","985","5","2021-10-12 06:35:54.547495","2021-10-12 06:35:54.547495"
"105","610","5","2021-10-12 06:35:54.552347","2021-10-12 06:35:54.552347"
"106","657","5","2021-10-12 06:35:54.557673","2021-10-12 06:35:54.557673"
"107","525","5","2021-10-12 06:35:54.562854","2021-10-12 06:35:54.562854"
"108","986","5","2021-10-12 06:35:54.568632","2021-10-12 06:35:54.568632"
"109","87","5","2021-10-12 06:35:54.575039","2021-10-12 06:35:54.575039"
"110","205","5","2021-10-12 06:35:54.596851","2021-10-12 06:35:54.596851"
"111","1086","5","2021-10-12 06:35:54.603884","2021-10-12 06:35:54.603884"
"112","475","5","2021-10-12 06:35:54.609789","2021-10-12 06:35:54.609789"
"113","393","5","2021-10-12 06:35:54.616031","2021-10-12 06:35:54.616031"
"114","466","5","2021-10-12 06:35:54.621996","2021-10-12 06:35:54.621996"
"115","321","5","2021-10-12 06:35:54.628712","2021-10-12 06:35:54.628712"
"116","1140","5","2021-10-12 06:35:54.634993","2021-10-12 06:35:54.634993"
"117","1066","5","2021-10-12 06:35:54.640932","2021-10-12 06:35:54.640932"
"118","366","5","2021-10-12 06:35:54.648011","2021-10-12 06:35:54.648011"
"119","1121","5","2021-10-12 06:35:54.653798","2021-10-12 06:35:54.653798"
"120","92","5","2021-10-12 06:35:54.659952","2021-10-12 06:35:54.659952"
"121","80","5","2021-10-12 06:35:54.665999","2021-10-12 06:35:54.665999"
"122","786","5","2021-10-12 06:35:54.672193","2021-10-12 06:35:54.672193"
"123","89","5","2021-10-12 06:35:54.677979","2021-10-12 06:35:54.677979"
"124","692","5","2021-10-12 06:35:54.683476","2021-10-12 06:35:54.683476"
"126","824","5","2021-10-12 06:35:54.695579","2021-10-12 06:35:54.695579"
"127","394","5","2021-10-12 06:35:54.701509","2021-10-12 06:35:54.701509"
"128","709","5","2021-10-12 06:35:54.707557","2021-10-12 06:35:54.707557"
"129","335","5","2021-10-12 06:35:54.713637","2021-10-12 06:35:54.713637"
"130","3","5","2021-10-12 06:35:54.719812","2021-10-12 06:35:54.719812"
"131","1106","5","2021-10-12 06:35:54.725809","2021-10-12 06:35:54.725809"
"132","693","5","2021-10-12 06:35:54.731803","2021-10-12 06:35:54.731803"
"133","1179","5","2021-10-12 06:35:54.738276","2021-10-12 06:35:54.738276"
"134","47","5","2021-10-12 06:35:54.744368","2021-10-12 06:35:54.744368"
"135","1218","5","2021-10-12 06:35:54.752847","2021-10-12 06:35:54.752847"
"136","163","6","2021-10-12 06:35:54.763203","2021-10-12 06:35:54.763203"
"137","881","6","2021-10-12 06:35:54.769474","2021-10-12 06:35:54.769474"
"138","956","7","2021-10-12 06:35:54.778564","2021-10-12 06:35:54.778564"
"139","75","7","2021-10-12 06:35:54.784775","2021-10-12 06:35:54.784775"
"140","332","7","2021-10-12 06:35:54.791077","2021-10-12 06:35:54.791077"
"141","549","7","2021-10-12 06:35:54.797192","2021-10-12 06:35:54.797192"
"142","306","7","2021-10-12 06:35:54.803021","2021-10-12 06:35:54.803021"
"143","51","7","2021-10-12 06:35:54.809234","2021-10-12 06:35:54.809234"
"144","885","7","2021-10-12 06:35:54.814925","2021-10-12 06:35:54.814925"
"145","663","8","2021-10-12 06:35:54.821338","2021-10-12 06:35:54.821338"
"146","196","8","2021-10-12 06:35:54.826065","2021-10-12 06:35:54.826065"
"147","319","8","2021-10-12 06:35:54.831076","2021-10-12 06:35:54.831076"
"148","420","8","2021-10-12 06:35:54.836969","2021-10-12 06:35:54.836969"
"149","8","8","2021-10-12 06:35:54.842572","2021-10-12 06:35:54.842572"
"150","46","8","2021-10-12 06:35:54.848384","2021-10-12 06:35:54.848384"
"151","628","8","2021-10-12 06:35:54.85403","2021-10-12 06:35:54.85403"
"152","745","8","2021-10-12 06:35:54.859495","2021-10-12 06:35:54.859495"
"153","320","8","2021-10-12 06:35:54.864263","2021-10-12 06:35:54.864263"
"154","612","8","2021-10-12 06:35:54.869433","2021-10-12 06:35:54.869433"
"155","134","8","2021-10-12 06:35:54.874607","2021-10-12 06:35:54.874607"
"156","200","8","2021-10-12 06:35:54.879942","2021-10-12 06:35:54.879942"
"157","2162","8","2021-10-12 06:35:54.884494","2021-10-12 06:35:54.884494"
"158","877","8","2021-10-12 06:35:54.889425","2021-10-12 06:35:54.889425"
"159","3157","8","2021-10-12 06:35:54.894262","2021-10-12 06:35:54.894262"
"160","654","9","2021-10-12 06:35:54.899895","2021-10-12 06:35:54.899895"
"161","244","9","2021-10-12 06:35:54.905006","2021-10-12 06:35:54.905006"
"162","985","9","2021-10-12 06:35:54.909926","2021-10-12 06:35:54.909926"
"163","610","9","2021-10-12 06:35:54.91496","2021-10-12 06:35:54.91496"
"164","657","10","2021-10-12 06:35:54.920743","2021-10-12 06:35:54.920743"
"165","525","10","2021-10-12 06:35:54.925785","2021-10-12 06:35:54.925785"
"166","986","10","2021-10-12 06:35:54.931049","2021-10-12 06:35:54.931049"
"167","87","10","2021-10-12 06:35:54.935983","2021-10-12 06:35:54.935983"
"168","205","10","2021-10-12 06:35:54.940587","2021-10-12 06:35:54.940587"
"169","1086","10","2021-10-12 06:35:54.945551","2021-10-12 06:35:54.945551"
"170","475","10","2021-10-12 06:35:54.950306","2021-10-12 06:35:54.950306"
"171","393","10","2021-10-12 06:35:54.954854","2021-10-12 06:35:54.954854"
"172","466","10","2021-10-12 06:35:54.959593","2021-10-12 06:35:54.959593"
"173","321","10","2021-10-12 06:35:54.964361","2021-10-12 06:35:54.964361"
"174","1140","10","2021-10-12 06:35:54.96911","2021-10-12 06:35:54.96911"
"175","1066","10","2021-10-12 06:35:54.973723","2021-10-12 06:35:54.973723"
