id,uid,article_id,type,position,created_at,updated_at,log_data
"6756","css_byb2TTNywNVgwdh","259","outcome","2","2022-01-25 08:55:36.530808","2022-01-25 08:55:36.530808","{""h"": [{""c"": {""id"": 6756, ""uid"": ""css_byb2TTNywNVgwdh"", ""type"": ""outcome"", ""position"": 2, ""article_id"": 259, ""created_at"": ""2022-01-25T08:55:36.530808"", ""updated_at"": ""2022-01-25T08:55:36.530808""}, ""v"": 1, ""ts"": 1643100936531}], ""v"": 1}"
"6772","css_GWr1CSQIRJQbj6a","74","background","0","2022-01-25 08:55:40.896983","2022-01-25 08:55:40.896983","{""h"": [{""c"": {""id"": 6772, ""uid"": ""css_GWr1CSQIRJQbj6a"", ""type"": ""background"", ""position"": 0, ""article_id"": 74, ""created_at"": ""2022-01-25T08:55:40.896983"", ""updated_at"": ""2022-01-25T08:55:40.896983""}, ""v"": 1, ""ts"": 1643100940897}], ""v"": 1}"
"6773","css_WWbgcUko50NXr3j","74","overview","1","2022-01-25 08:55:40.903057","2022-01-25 08:55:40.903057","{""h"": [{""c"": {""id"": 6773, ""uid"": ""css_WWbgcUko50NXr3j"", ""type"": ""overview"", ""position"": 1, ""article_id"": 74, ""created_at"": ""2022-01-25T08:55:40.903057"", ""updated_at"": ""2022-01-25T08:55:40.903057""}, ""v"": 1, ""ts"": 1643100940903}], ""v"": 1}"
"6774","css_sfHvK6g1jHWMvll","74","outcome","2","2022-01-25 08:55:40.924522","2022-01-25 08:55:40.924522","{""h"": [{""c"": {""id"": 6774, ""uid"": ""css_sfHvK6g1jHWMvll"", ""type"": ""outcome"", ""position"": 2, ""article_id"": 74, ""created_at"": ""2022-01-25T08:55:40.924522"", ""updated_at"": ""2022-01-25T08:55:40.924522""}, ""v"": 1, ""ts"": 1643100940925}], ""v"": 1}"
"7048","css_bGFVbA4WhaKjEXj","297","background","0","2022-01-25 13:04:31.679231","2022-01-25 13:04:31.679231","{""h"": [{""c"": {""id"": 7048, ""uid"": ""css_bGFVbA4WhaKjEXj"", ""type"": ""background"", ""position"": 0, ""article_id"": 297, ""created_at"": ""2022-01-25T13:04:31.679231"", ""updated_at"": ""2022-01-25T13:04:31.679231""}, ""v"": 1, ""ts"": 1643115871679}], ""v"": 1}"
"7049","css_0P2Tc4MwIxoHSxk","297","overview","1","2022-01-25 13:04:31.691987","2022-01-25 13:04:31.691987","{""h"": [{""c"": {""id"": 7049, ""uid"": ""css_0P2Tc4MwIxoHSxk"", ""type"": ""overview"", ""position"": 1, ""article_id"": 297, ""created_at"": ""2022-01-25T13:04:31.691987"", ""updated_at"": ""2022-01-25T13:04:31.691987""}, ""v"": 1, ""ts"": 1643115871692}], ""v"": 1}"
"7050","css_p1dxUHiLFXmHizj","297","outcome","2","2022-01-25 13:04:31.715463","2022-01-25 13:04:31.715463","{""h"": [{""c"": {""id"": 7050, ""uid"": ""css_p1dxUHiLFXmHizj"", ""type"": ""outcome"", ""position"": 2, ""article_id"": 297, ""created_at"": ""2022-01-25T13:04:31.715463"", ""updated_at"": ""2022-01-25T13:04:31.715463""}, ""v"": 1, ""ts"": 1643115871715}], ""v"": 1}"
"7090","css_vKT96yiVGa0lQ0I","127","background","0","2022-01-25 13:04:47.164658","2022-01-25 13:04:47.164658","{""h"": [{""c"": {""id"": 7090, ""uid"": ""css_vKT96yiVGa0lQ0I"", ""type"": ""background"", ""position"": 0, ""article_id"": 127, ""created_at"": ""2022-01-25T13:04:47.164658"", ""updated_at"": ""2022-01-25T13:04:47.164658""}, ""v"": 1, ""ts"": 1643115887165}], ""v"": 1}"
"7091","css_46h5tIpijINWkgi","127","overview","1","2022-01-25 13:04:47.170782","2022-01-25 13:04:47.170782","{""h"": [{""c"": {""id"": 7091, ""uid"": ""css_46h5tIpijINWkgi"", ""type"": ""overview"", ""position"": 1, ""article_id"": 127, ""created_at"": ""2022-01-25T13:04:47.170782"", ""updated_at"": ""2022-01-25T13:04:47.170782""}, ""v"": 1, ""ts"": 1643115887171}], ""v"": 1}"
"7092","css_OjYi4xK4PIZ2l3B","127","outcome","2","2022-01-25 13:04:47.222613","2022-01-25 13:04:47.222613","{""h"": [{""c"": {""id"": 7092, ""uid"": ""css_OjYi4xK4PIZ2l3B"", ""type"": ""outcome"", ""position"": 2, ""article_id"": 127, ""created_at"": ""2022-01-25T13:04:47.222613"", ""updated_at"": ""2022-01-25T13:04:47.222613""}, ""v"": 1, ""ts"": 1643115887223}], ""v"": 1}"
