id,uid,primary,article_id,skill_id,created_at,updated_at,log_data,search_id
"1050","csk_bA7cIwOn2m35eRN",,"220","8","2021-10-12 12:22:59.044535","2021-10-12 12:22:59.044535","{""h"": [{""c"": {""id"": 1050, ""uid"": ""csk_bA7cIwOn2m35eRN"", ""primary"": null, ""skill_id"": 8, ""search_id"": null, ""article_id"": 220, ""created_at"": ""2021-10-12T12:22:59.044535"", ""updated_at"": ""2021-10-12T12:22:59.044535""}, ""v"": 1, ""ts"": 1634041379045}], ""v"": 1}",
"1051","csk_nnaKrrXD5Rfsx4o",,"220","393","2021-10-12 12:22:59.049995","2021-10-12 12:22:59.049995","{""h"": [{""c"": {""id"": 1051, ""uid"": ""csk_nnaKrrXD5Rfsx4o"", ""primary"": null, ""skill_id"": 393, ""search_id"": null, ""article_id"": 220, ""created_at"": ""2021-10-12T12:22:59.049995"", ""updated_at"": ""2021-10-12T12:22:59.049995""}, ""v"": 1, ""ts"": 1634041379050}], ""v"": 1}",
"1047","csk_Tq72aTh24kMUnl1","t","220","283","2021-10-12 12:22:59.026789","2021-10-12 12:22:59.071066","{""h"": [{""c"": {""id"": 1047, ""uid"": ""csk_Tq72aTh24kMUnl1"", ""primary"": null, ""skill_id"": 283, ""search_id"": null, ""article_id"": 220, ""created_at"": ""2021-10-12T12:22:59.026789"", ""updated_at"": ""2021-10-12T12:22:59.026789""}, ""v"": 1, ""ts"": 1634041379027}, {""c"": {""primary"": true, ""updated_at"": ""2021-10-12 12:22:59.071066""}, ""v"": 2, ""ts"": 1634041379071}], ""v"": 2}",
"1053","csk_ZchiqU2dcJYb5kE",,"221","156","2021-10-12 12:22:59.950815","2021-10-12 12:22:59.950815","{""h"": [{""c"": {""id"": 1053, ""uid"": ""csk_ZchiqU2dcJYb5kE"", ""primary"": null, ""skill_id"": 156, ""search_id"": null, ""article_id"": 221, ""created_at"": ""2021-10-12T12:22:59.950815"", ""updated_at"": ""2021-10-12T12:22:59.950815""}, ""v"": 1, ""ts"": 1634041379951}], ""v"": 1}",
"1054","csk_1Mt0kH2C6dDJEyx",,"221","283","2021-10-12 12:22:59.957046","2021-10-12 12:22:59.957046","{""h"": [{""c"": {""id"": 1054, ""uid"": ""csk_1Mt0kH2C6dDJEyx"", ""primary"": null, ""skill_id"": 283, ""search_id"": null, ""article_id"": 221, ""created_at"": ""2021-10-12T12:22:59.957046"", ""updated_at"": ""2021-10-12T12:22:59.957046""}, ""v"": 1, ""ts"": 1634041379957}], ""v"": 1}",
"1055","csk_CQSSy6YqmMZoExb",,"221","549","2021-10-12 12:22:59.964156","2021-10-12 12:22:59.964156","{""h"": [{""c"": {""id"": 1055, ""uid"": ""csk_CQSSy6YqmMZoExb"", ""primary"": null, ""skill_id"": 549, ""search_id"": null, ""article_id"": 221, ""created_at"": ""2021-10-12T12:22:59.964156"", ""updated_at"": ""2021-10-12T12:22:59.964156""}, ""v"": 1, ""ts"": 1634041379964}], ""v"": 1}",
"1056","csk_vKHqVPCAgwwkcnl",,"221","831","2021-10-12 12:22:59.970875","2021-10-12 12:22:59.970875","{""h"": [{""c"": {""id"": 1056, ""uid"": ""csk_vKHqVPCAgwwkcnl"", ""primary"": null, ""skill_id"": 831, ""search_id"": null, ""article_id"": 221, ""created_at"": ""2021-10-12T12:22:59.970875"", ""updated_at"": ""2021-10-12T12:22:59.970875""}, ""v"": 1, ""ts"": 1634041379971}], ""v"": 1}",
"1052","csk_vOaRG5nTEEMKLkt","t","221","196","2021-10-12 12:22:59.943386","2021-10-12 12:22:59.979113","{""h"": [{""c"": {""id"": 1052, ""uid"": ""csk_vOaRG5nTEEMKLkt"", ""primary"": null, ""skill_id"": 196, ""search_id"": null, ""article_id"": 221, ""created_at"": ""2021-10-12T12:22:59.943386"", ""updated_at"": ""2021-10-12T12:22:59.943386""}, ""v"": 1, ""ts"": 1634041379943}, {""c"": {""primary"": true, ""updated_at"": ""2021-10-12 12:22:59.979113""}, ""v"": 2, ""ts"": 1634041379979}], ""v"": 2}",
"3874","csk_JCWORIpTu3IN8be",,"417","709","2022-02-11 09:03:03.337497","2022-02-11 09:03:03.337497","{""h"": [{""c"": {""id"": 3874, ""uid"": ""csk_JCWORIpTu3IN8be"", ""primary"": null, ""skill_id"": 709, ""search_id"": null, ""article_id"": 417, ""created_at"": ""2022-02-11T09:03:03.337497"", ""updated_at"": ""2022-02-11T09:03:03.337497""}, ""v"": 1, ""ts"": 1644570183337}], ""v"": 1}",
"3873","csk_Z45dBeUt3cSKiKV","t","417","549","2022-02-11 09:03:03.330305","2022-02-11 09:03:03.350797","{""h"": [{""c"": {""id"": 3873, ""uid"": ""csk_Z45dBeUt3cSKiKV"", ""primary"": null, ""skill_id"": 549, ""search_id"": null, ""article_id"": 417, ""created_at"": ""2022-02-11T09:03:03.330305"", ""updated_at"": ""2022-02-11T09:03:03.330305""}, ""v"": 1, ""ts"": 1644570183330}, {""c"": {""primary"": true, ""updated_at"": ""2022-02-11 09:03:03.350797""}, ""v"": 2, ""ts"": 1644570183351}], ""v"": 2}",
"1063","csk_OyNkyAWjUjU9osv",,"223","352","2021-10-12 12:23:06.722742","2021-10-12 12:23:06.722742","{""h"": [{""c"": {""id"": 1063, ""uid"": ""csk_OyNkyAWjUjU9osv"", ""primary"": null, ""skill_id"": 352, ""search_id"": null, ""article_id"": 223, ""created_at"": ""2021-10-12T12:23:06.722742"", ""updated_at"": ""2021-10-12T12:23:06.722742""}, ""v"": 1, ""ts"": 1634041386723}], ""v"": 1}",
